Kematangan,r_avg,g_avg,b_avg,hijau,hitam,Berat,luas,keliling,x,y
2,45.42237509758,46.6865241998439,13.7977100274688,0.966212919594067,0.0337870804059329,385,0.109971830985915,779,222,512
2,45.2504589626221,43.9416444324774,11.0305310747396,0.943920887082956,0.056079112917044,385,0.109598926894702,787,236,513
2,47.8301721986524,46.9841776890442,12.0364481126631,0.947991015722486,0.0520089842775144,385,0.107498323272971,768,255,200
2,41.1139558356515,40.1441126510918,9.74293860821527,0.967159843430738,0.0328401565692622,385,0.108976525821596,772,378,476
2,38.5714843570543,38.6410391877613,8.3437310537165,0.957182891533055,0.0428171084669454,385,0.116791415157612,820,254,228
2,61.2137929464265,61.1261810978803,22.5855230540407,0.73841670271624,0.261583297283759,382,0.11782964453387,881,402,396
2,59.2982726907546,59.9439311613353,13.4452089037019,0.795619357703123,0.204380642296877,382,0.126892018779343,848,265,234
2,64.2439101765199,64.8424010332873,24.9896993318486,0.666175704153543,0.333824295846457,382,0.11839302481556,828,238,251
2,59.2486348744084,60.037902310542,12.6416755920505,0.824664339707488,0.175335660292512,382,0.125282360831657,842,260,241
2,74.0681383716972,78.1413046324665,32.7856862077098,0.322649069054914,0.677350930945086,382,0.102446680080483,814,231,240
1,75.7803338511231,80.3990433217447,30.6698158006548,0.287225386493084,0.712774613506916,350,0.108804828973843,802,266,200
1,66.8731922971252,70.370557234558,25.3062776619016,0.534930189574643,0.465069810425357,350,0.107409792085848,779,223,231
1,71.0737641206343,74.6407917918955,30.2566619915849,0.398694165198466,0.601305834801534,350,0.103543930248156,787,216,242
1,70.9011109946546,75.0555235300283,27.3839364283619,0.424116968871187,0.575883031128812,350,0.102384976525822,752,240,205
1,75.8684932183709,80.695184919831,34.1873423980223,0.255033722854955,0.744966277145045,350,0.108590207914152,803,211,252
2,67.7561132733861,63.7785800563683,23.2442065706314,0.65545564353778,0.34454435646222,200,0.0999463447350771,787,245,215
2,76.5939673275697,72.6296670030273,26.4841750651115,0.40851446805029,0.59148553194971,200,0.0983688799463447,726,195,238
2,69.4250845502451,62.7917048999816,19.0105599513086,0.682615420916027,0.317384579083973,200,0.102328638497653,777,224,239
2,69.2540351414853,63.3627285728879,20.6486272671335,0.672285218101951,0.327714781898049,200,0.105046277665996,888,397,446
2,72.9218619912826,66.7502081394779,27.1415543934671,0.579999020520104,0.420000979479896,200,0.109558685446009,1182,415,749
3,66.1717092079761,67.9840675404882,19.358639833449,0.533491015406853,0.466508984593147,190,0.0816659959758551,691,240,170
3,63.3815629207,65.8832938008847,19.2864452727889,0.621129559587153,0.378870440412847,190,0.0836968477531858,690,172,231
